Date,Time,Dry_Bulb _C_22
12/22/2019,4:00:00,3.472158203
12/22/2019,8:00:00,3.515058594
12/22/2019,12:00:00,3.600859375
12/22/2019,16:00:00,3.729560547
12/22/2019,20:00:00,3.686660156
12/23/2019,0:00:00,3.643759766
12/23/2019,4:00:00,3.600859375
12/23/2019,8:00:00,3.557958984
12/23/2019,12:00:00,3.557958984
12/23/2019,16:00:00,3.772460938
12/23/2019,20:00:00,3.729560547
12/24/2019,0:00:00,3.686660156
12/24/2019,4:00:00,3.643759766
12/24/2019,8:00:00,3.729560547
12/24/2019,12:00:00,3.686660156
12/24/2019,16:00:00,3.772460938
12/24/2019,20:00:00,3.772460938
12/25/2019,0:00:00,3.729560547
12/25/2019,4:00:00,3.686660156
12/25/2019,8:00:00,3.643759766
12/25/2019,12:00:00,3.772460938
12/25/2019,16:00:00,3.858261719
12/25/2019,20:00:00,3.858261719
12/26/2019,0:00:00,3.858261719
12/26/2019,4:00:00,3.901162109
12/26/2019,8:00:00,3.9440625
12/26/2019,12:00:00,3.9440625
12/26/2019,16:00:00,4.544667969
12/26/2019,20:00:00,4.201464844
12/27/2019,0:00:00,4.115664063
12/27/2019,4:00:00,4.115664063
12/27/2019,8:00:00,4.072763672
12/27/2019,12:00:00,4.115664063
12/27/2019,16:00:00,4.158564453
12/27/2019,20:00:00,4.072763672
12/28/2019,0:00:00,4.072763672
12/28/2019,4:00:00,3.986962891
12/28/2019,8:00:00,3.986962891
12/28/2019,12:00:00,3.986962891
12/28/2019,16:00:00,4.072763672
12/28/2019,20:00:00,4.158564453
12/29/2019,0:00:00,4.072763672
12/29/2019,4:00:00,4.158564453
12/29/2019,8:00:00,4.158564453
12/29/2019,12:00:00,4.201464844
12/29/2019,16:00:00,4.244365234
12/29/2019,20:00:00,4.244365234
12/30/2019,0:00:00,4.287265625
12/30/2019,4:00:00,4.244365234
12/30/2019,8:00:00,4.244365234
12/30/2019,12:00:00,4.330166016
12/30/2019,16:00:00,4.244365234
12/30/2019,20:00:00,4.115664063
12/31/2019,0:00:00,4.158564453
12/31/2019,4:00:00,4.201464844
12/31/2019,8:00:00,4.244365234
12/31/2019,12:00:00,4.201464844
12/31/2019,16:00:00,4.158564453
12/31/2019,20:00:00,4.029863281
1/1/2020,0:00:00,4.072763672
1/1/2020,4:00:00,4.072763672
1/1/2020,8:00:00,3.986962891
1/1/2020,12:00:00,3.986962891
1/1/2020,16:00:00,3.9440625
1/1/2020,20:00:00,3.9440625
1/2/2020,0:00:00,3.986962891
1/2/2020,4:00:00,4.029863281
1/2/2020,8:00:00,4.072763672
1/2/2020,12:00:00,4.072763672
